cell_id,regime_label,tags,true_risky_success_prob,safe_length,risky_samples,observed_successes,observed_failures,observed_success_rate,method,exact_optimal_action,estimated_action,matches_exact_action,risky_action_selected,policy_regret,q_risky_true,q_safe_true,q_risky_estimate,q_safe_estimate,risky_value_overestimation,risky_value_underestimation,risky_q_calibration_error,prior_dependent_by_quantiles,empirical_identifiable_by_confidence_set
matched_identifiable_safe_optimal,matched_identifiable_safe_optimal,matched;identifiable;safe_optimal,0.25,3,8,2,6,0.25,raw_trl,safe,risky,False,True,0.5040000000000001,0.225,0.7290000000000001,0.9,0.7290000000000001,0.675,0.0,0.675,False,True
matched_identifiable_safe_optimal,matched_identifiable_safe_optimal,matched;identifiable;safe_optimal,0.25,3,8,2,6,0.25,trl_log,safe,safe,True,False,0.0,0.225,0.7290000000000001,0.225,0.7290000000000001,0.0,0.0,0.0,False,True
matched_identifiable_safe_optimal,matched_identifiable_safe_optimal,matched;identifiable;safe_optimal,0.25,3,8,2,6,0.25,empirical_risky_value,safe,safe,True,False,0.0,0.225,0.7290000000000001,0.225,0.7290000000000001,0.0,0.0,0.0,False,True
matched_identifiable_safe_optimal,matched_identifiable_safe_optimal,matched;identifiable;safe_optimal,0.25,3,8,2,6,0.25,empirical_model_dp,safe,safe,True,False,0.0,0.225,0.7290000000000001,0.225,0.7290000000000001,0.0,0.0,0.0,False,True
matched_identifiable_safe_optimal,matched_identifiable_safe_optimal,matched;identifiable;safe_optimal,0.25,3,8,2,6,0.25,posterior_mean_dp_beta_1_1,safe,safe,True,False,0.0,0.225,0.7290000000000001,0.27,0.7290000000000001,0.04500000000000001,0.0,0.04500000000000001,False,True
matched_identifiable_safe_optimal,matched_identifiable_safe_optimal,matched;identifiable;safe_optimal,0.25,3,8,2,6,0.25,posterior_lower_q10_dp_beta_1_1,safe,safe,True,False,0.0,0.225,0.7290000000000001,0.11655,0.7290000000000001,0.0,0.10845,0.10845,False,True
matched_identifiable_safe_optimal,matched_identifiable_safe_optimal,matched;identifiable;safe_optimal,0.25,3,8,2,6,0.25,posterior_upper_q90_dp_beta_1_1,safe,safe,True,False,0.0,0.225,0.7290000000000001,0.441,0.7290000000000001,0.216,0.0,0.216,False,True
matched_identifiable_safe_optimal,matched_identifiable_safe_optimal,matched;identifiable;safe_optimal,0.25,3,8,2,6,0.25,robust_lcb_dp_delta_0_2,safe,safe,True,False,0.0,0.225,0.7290000000000001,0.0,0.7290000000000001,0.0,0.225,0.225,False,True
matched_identifiable_safe_optimal,matched_identifiable_safe_optimal,matched;identifiable;safe_optimal,0.25,3,8,2,6,0.25,robust_ucb_dp_delta_0_2,safe,safe,True,False,0.0,0.225,0.7290000000000001,0.566421104111658,0.7290000000000001,0.34142110411165805,0.0,0.34142110411165805,False,True
matched_risk_optimal_high_coverage,matched_risk_optimal,matched;ambiguous;risky_optimal,0.9,4,16,15,1,0.9375,raw_trl,risky,risky,True,True,0.0,0.81,0.6561,0.9,0.6561,0.08999999999999997,0.0,0.08999999999999997,False,False
matched_risk_optimal_high_coverage,matched_risk_optimal,matched;ambiguous;risky_optimal,0.9,4,16,15,1,0.9375,trl_log,risky,risky,True,True,0.0,0.81,0.6561,0.84375,0.6561,0.03374999999999995,0.0,0.03374999999999995,False,False
matched_risk_optimal_high_coverage,matched_risk_optimal,matched;ambiguous;risky_optimal,0.9,4,16,15,1,0.9375,empirical_risky_value,risky,risky,True,True,0.0,0.81,0.6561,0.84375,0.6561,0.03374999999999995,0.0,0.03374999999999995,False,False
